순서,item,로맨스,판타지,감동,코믹,교훈,힐링,액션,스릴러
1,도깨비,5,3,3,4,2,2,2,1
2,선업튀,5,1,1,2,2,3,0,0
3,18어게인,4,1,5,3,4,2,0,0
4,눈물의 여왕,3,0,3,2,1,1,3,2
5,마이데몬,4,5,2,3,1,1,4,2
6,더글로리,2,0,2,1,2,0,5,4
7,오징어 게임,1,5,2,2,1,0,5,4
8,해피니스,3,5,4,2,2,1,3,4
9,지금 우리 학교는,3,5,2,2,1,1,5,4
10,스위트홈,1,5,3,2,3,0,5,5
11,응답하라 1988,3,0,5,3,2,4,1,0
12,폭싹 속았수다,5,0,5,3,4,4,1,0
13,슬기로운 의사생활,3,0,5,4,4,3,1,0
14,그 해 우리는,3,0,3,3,2,5,1,0
15,정신병동..,1,1,4,2,5,3,1,2
16,퐁당퐁당 러브,5,5,2,3,2,2,1,1
17,달의 연인,3,2,2,2,1,3,3,1
18,옥씨 부인전,3,0,2,2,1,1,0,1
19,궁예,1,0,2,4,2,1,3,2
20,에스콰이어,3,0,3,1,3,3,2,0
21,우영우,3,1,4,4,3,4,1,0
22,리갈하이,3,1,3,4,2,1,1,0
23,스타트업,4,1,2,2,2,2,1,1
24,대행사,0,0,1,3,2,1,4,0
25,,,,,,,,,
26,,,,,,,,,
27,,,,,,,,,
28,,,,,,,,,
